           1  -5.99999987E-02
           2 -0.100000001    
           3 -0.159999996    
           4 -0.119999997    
           5 -0.109999999    
           6  -7.00000003E-02
           7 -0.189999998    
           8 -0.140000001    
           9 -0.209999993    
          10 -0.239999995    
          11 -0.189999998    
          12 -0.270000011    
          13 -0.360000014    
          14 -0.200000003    
          15 -0.209999993    
          16 -0.280000001    
          17 -0.300000012    
          18 -0.330000013    
          19 -0.280000001    
          20 -0.140000001    
          21 -0.200000003    
          22 -0.219999999    
          23 -0.289999992    
          24 -0.330000013    
          25 -0.250000000    
          26 -0.300000012    
          27 -0.430000007    
          28 -0.490000010    
          29 -0.419999987    
          30 -0.419999987    
          31 -0.550000012    
          32 -0.449999988    
          33 -0.419999987    
          34 -0.389999986    
          35 -0.379999995    
          36 -0.460000008    
          37 -0.500000000    
          38 -0.469999999    
          39 -0.490000010    
          40 -0.620000005    
          41 -0.610000014    
          42 -0.550000012    
          43 -0.560000002    
          44 -0.600000024    
          45 -0.699999988    
          46 -0.579999983    
          47 -0.560000002    
          48 -0.490000010    
          49 -0.310000002    
          50 -0.280000001    
          51 -0.250000000    
          52 -0.400000006    
          53 -0.400000006    
          54 -0.430000007    
          55 -0.319999993    
          56 -0.340000004    
          57 -0.389999986    
          58 -0.490000010    
          59 -0.449999988    
          60 -0.449999988    
          61 -0.449999988    
          62 -0.519999981    
          63 -0.490000010    
          64 -0.460000008    
          65 -0.389999986    
          66 -0.469999999    
          67 -0.540000021    
          68 -0.490000010    
          69 -0.430000007    
          70 -0.540000021    
          71 -0.509999990    
          72 -0.550000012    
          73 -0.430000007    
          74 -0.360000014    
          75 -0.409999996    
          76 -0.370000005    
          77 -0.439999998    
          78 -0.449999988    
          79 -0.449999988    
          80 -0.409999996    
          81 -0.389999986    
          82 -0.460000008    
          83 -0.589999974    
          84 -0.519999981    
          85 -0.550000012    
          86 -0.449999988    
          87 -0.460000008    
          88 -0.419999987    
          89 -0.460000008    
          90 -0.409999996    
          91 -0.460000008    
          92 -0.449999988    
          93 -0.500000000    
          94 -0.610000014    
          95 -0.529999971    
          96 -0.439999998    
          97 -0.569999993    
          98 -0.519999981    
          99 -0.620000005    
         100 -0.500000000    


           1   1.00000000    
           2   2.24000001    
           3   3.16000009    
           4   4.15999985    
           5   5.32000017    
           6   6.65999985    
           7   7.80000019    
           8   9.15999985    
           9   9.72000027    
          10   11.0400000    
          11   12.5600004    
          12   13.5400000    
          13   14.8000002    
